Student,Faculteit,Uitwisselingsinstelling,Land,Begin jaar,Eind jaar
1,Fac. Psychologie en Pedagogische Wet.,Universiteit Leiden,Nederland,2012,2013
2,Faculteit Geneeskunde,Ludwig-Maximilians-Universität München,Duitsland,2012,2013
3,Fac. Psychologie en Pedagogische Wet.,Università degli Studi di Udine,Italië,2012,2013
4,Faculteit Rechtsgeleerdheid,Université de Montpellier I,Frankrijk,2012,2013
5,Faculteit Geneeskunde,Université Grenoble Alpes,Frankrijk,2012,2013
6,Faculteit Geneeskunde,Université de Bretagne Occidentale,Frankrijk,2012,2013
7,Faculteit Economie en Bedrijfswetensch.,MCI Management Center Innsbruck,Oostenrijk,2012,2013
8,Faculteit Geneeskunde,Università Cattolica del 'Sacro-Cuore',Italië,2012,2013
9,Faculteit Geneeskunde,Ludwig-Maximilians-Universität München,Duitsland,2012,2013
10,Faculteit Geneeskunde,Université Catholique de Lille,Frankrijk,2012,2013
11,Faculteit Rechtsgeleerdheid,Université Jean Moulin (Lyon 3),Frankrijk,2012,2013
12,Faculteit Ingenieurswetenschappen,Politecnico di Torino,Italië,2012,2013
13,Faculteit Geneeskunde,Université Catholique de Lille,Frankrijk,2012,2013
14,Faculteit Letteren,Aarhus Universitet,Denemarken,2012,2013
15,Faculteit Economie en Bedrijfswetensch.,Göteborgs Unversitet,Zweden,2012,2013
16,Faculteit Geneeskunde,Oulun Yliopisto,Finland,2012,2013
17,Faculteit Economie en Bedrijfswetensch.,Universität Bern,Zwitserland,2012,2013
18,Fac. Psychologie en Pedagogische Wet.,Université de Paris-Nanterre (Paris X),Frankrijk,2012,2013
19,Faculteit Sociale Wetenschappen,Universidad de Sevilla,Spanje,2012,2013
20,Faculteit Geneeskunde,Medizinische Universität Graz,Oostenrijk,2012,2013
21,Faculteit Rechtsgeleerdheid,Ludwig-Maximilians-Universität München,Duitsland,2012,2013
22,Faculteit Geneeskunde,Universität Zürich,Zwitserland,2012,2013
23,Faculteit Wetenschappen,Università degli Studi di Parma,Italië,2012,2013
24,Faculteit Letteren,Università di Bologna,Italië,2012,2013
25,Faculteit Geneeskunde,Universiteit Leiden,Nederland,2012,2013
26,Faculteit Rechtsgeleerdheid,Université d'Orléans,Frankrijk,2012,2013
27,Faculteit Geneeskunde,Universiteit Leiden,Nederland,2012,2013
28,Faculteit Geneeskunde,Université Grenoble Alpes,Frankrijk,2012,2013
29,Faculteit Economie en Bedrijfswetensch.,Universidade de Coimbra,Portugal,2012,2013
30,Faculteit Economie en Bedrijfswetensch.,Università degli Studi di Roma 'Tor Verg,Italië,2012,2013
31,Faculteit Economie en Bedrijfswetensch.,Università degli Studi di Roma 'Tor Verg,Italië,2012,2013
32,Faculteit Economie en Bedrijfswetensch.,Umeå Universitet,Zweden,2012,2013
33,Faculteit Rechtsgeleerdheid,Université Jean Moulin (Lyon 3),Frankrijk,2012,2013
34,Faculteit Ingenieurswetenschappen,Institut Polytechnique de Grenoble,Frankrijk,2012,2013
35,Faculteit Sociale Wetenschappen,University of Edinburgh,Ver. Koninkrijk,2012,2013
36,Faculteit Economie en Bedrijfswetensch.,Università degli Studi di Siena,Italië,2012,2013
37,Faculteit Geneeskunde,Philipps-Universität Marburg,Duitsland,2012,2013
38,Faculteit Ingenieurswetenschappen,Universidade Técnica de Lisboa,Portugal,2012,2013
39,Faculteit Geneeskunde,Université de Genève,Zwitserland,2012,2013
40,Faculteit Geneeskunde,Albert-Ludwigs-Universität Freiburg,Duitsland,2012,2013
41,Faculteit Rechtsgeleerdheid,Université d'Orléans,Frankrijk,2012,2013
42,Faculteit Wetenschappen,Stockholms Universitet,Zweden,2012,2013
43,Faculteit Geneeskunde,Université Catholique de Lille,Frankrijk,2012,2013
44,Faculteit Economie en Bedrijfswetensch.,S  GOTEBOR90,Zweden,2012,2013
45,Faculteit Geneeskunde,Université Grenoble Alpes,Frankrijk,2012,2013
46,Faculteit Economie en Bedrijfswetensch.,Universität Zürich,Zwitserland,2012,2013
