# University Ranking Results - www.universityrankings.ch
# Ranking: Leiden
# Year: 2013
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   13  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   23  ,  Weizmann Institute of Science  , Israel    
   24  ,  University of Cambridge  , UK    
   26  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   30  ,  University of Oxford  , UK    
   33  ,  London School of Hygiene & Tropical Medicine  , UK    
   41  ,  Imperial College London  , UK    
   45  ,  Technical University of Denmark  , Denmark    
   47  ,  University of St. Andrews  , UK    
   48  ,  Trinity College Dublin  , Ireland    
   49  ,  University of Exeter  , UK    
   50  ,  University College London  , UK    
   56  ,  King&rsquo;s College London  , UK    
   58  ,  University of Leiden  , Netherlands    
   59  ,  University of Geneva  , Switzerland    
   63  ,  University of Durham  , UK    
   64  ,  Utrecht University  , Netherlands    
   68  ,  University of Lausanne  , Switzerland    
   70  ,  University of Zurich  , Switzerland    
   76  ,  University of Bristol  , UK    
   77  ,  Technical University of München  , Germany    
   78  ,  Wageningen University & Research Center  , Netherlands    
   79  ,  University of Dundee  , UK    
   83  ,  VU University Amsterdam  , Netherlands    
   84  ,  University of Edinburgh  , UK    
   85  ,  University of Basel  , Switzerland    
   87  ,  University of Warwick  , UK    
   90  ,  University of East Anglia  , UK    
   91  ,  University of Aberdeen  , UK    
   93  ,  University of Würzburg  , Germany    
   94  ,  Eindhoven University of Technology  , Netherlands    
   96  ,  Erasmus University Rotterdam  , Netherlands    
   97  ,  Queen Mary - University of London  , UK    
   103  ,  University of Amsterdam  , Netherlands    
   107  ,  University of York  , UK    
   109  ,  University of Stuttgart  , Germany    
   110  ,  University of München  , Germany    
   111  ,  University of Twente  , Netherlands    
   114  ,  Radboud University of Nijmegen  , Netherlands    
   115  ,  University of Reading  , UK    
   116  ,  Catholic University of Leuven  , Belgium    
   119  ,  University Victor Segalen - Bordeaux II  , France    
   121  ,  University of Glasgow  , UK    
   122  ,  University of Freiburg  , Germany    
   123  ,  University of Maastricht  , Netherlands    
   125  ,  University Denis Diderot (Paris VII)  , France    
   126  ,  University of Frankfurt am Main  , Germany    
   128  ,  University of Nottingham  , UK    
   130  ,  University of Lancaster  , UK    
   132  ,  University of Copenhagen  , Denmark    
   133  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   136  ,  University Pierre et Marie Curie (Paris VI)  , France    
   139  ,  University of Groningen  , Netherlands    
   141  ,  Stockholm University  , Sweden    
   144  ,  University of Münster  , Germany    
   145  ,  University of Sheffield  , UK    
   148  ,  University of Leeds  , UK    
   150  ,  University of Antwerp  , Belgium    
   151  ,  Catholic University of Louvain  , Belgium    
   152  ,  University René Descartes (Paris V)  , France    
   153  ,  University of Bonn  , Germany    
   156  ,  University Bordeaux I - Sciences Technologie  , France    
   157  ,  University of Regensburg  , Germany    
   159  ,  Aarhus University  , Denmark    
   162  ,  University of Heidelberg  , Germany    
   163  ,  University of Sussex  , UK    
   164  ,  Delft University of Technology  , Netherlands    
   166  ,  University of Liverpool  , UK    
   167  ,  Free University of Berlin  , Germany    
   168  ,  University Paris Sud (Paris XI)  , France    
   169  ,  Humboldt University of Berlin  , Germany    
   170  ,  Medical University of Innsbruck  , Austria    
   171  ,  University of Nice-Sophia Antipolis  , France    
   173  ,  University of Mainz  , Germany    
   174  ,  Karolinska Institute  , Sweden    
   175  ,  University of Düsseldorf  , Germany    
   176  ,  Medical University of Vienna  , Austria    
   177  ,  University of Bern  , Switzerland    
   179  ,  University of Southampton  , UK    
   181  ,  University College Cork  , Ireland    
   183  ,  Karlsruhe Institute of Technology  , Germany    
   184  ,  University Paris-Est Créteil Val de Marne  , France    
   188  ,  University of Gent  , Belgium    
   190  ,  University of Bath  , UK    
   192  ,  University of Strasbourg  , France    
   193  ,  University of Manchester  , UK    
   195  ,  University of Southern Denmark  , Denmark    
   196  ,  University of Hamburg  , Germany    
   200  ,  University Joseph Fourier - Grenoble I  , France    
   201  ,  University of Tübingen  , Germany    
   204  ,  University of Ulm  , Germany    
   207  ,  Ecole Polytechnique  , France    
   208  ,  University of Erlangen-Nürnberg  , Germany    
   209  ,  Chalmers University of Technology  , Sweden    
   218  ,  Université Libre de Bruxelles  , Belgium    
   220  ,  RWTH Aachen University  , Germany    
   223  ,  University Claude Bernard - Lyon I  , France    
   225  ,  University of Cologne  , Germany    
   226  ,  University of Marburg  , Germany    
   229  ,  University of Montpellier II  , France    
   234  ,  University of Göttingen  , Germany    
   236  ,  Technical University of Dresden  , Germany    
   237  ,  Queen&rsquo;s University Belfast  , UK    
   239  ,  University of Leicester  , UK    
   242  ,  Göteborg University  , Sweden    
   246  ,  Cardiff University  , UK    
   247  ,  Hebrew University of Jerusalem  , Israel    
   249  ,  University of Vienna  , Austria    
   250  ,  University of Eastern Finland  , Finland    
   254  ,  University Paul Sabatier - Toulouse III  , France    
   256  ,  Uppsala University  , Sweden    
   259  ,  University of Barcelona  , Spain    
   260  ,  University of Jena  , Germany    
   261  ,  University of Bremen  , Germany    
   263  ,  Lund University  , Sweden    
   266  ,  Technical University of Berlin  , Germany    
   267  ,  KTH - Royal Institute of Technology  , Sweden    
   269  ,  University of Kiel  , Germany    
   270  ,  University of Birmingham  , UK    
   275  ,  University of Helsinki  , Finland    
   277  ,  Hannover Medical School  , Germany    
   279  ,  University of Oslo  , Norway    
   281  ,  University College Dublin  , Ireland    
   282  ,  Polytechnic University of Valencia  , Spain    
   287  ,  Norwegian University of Science and Technology  , Norway    
   288  ,  University of Liège  , Belgium    
   289  ,  Vrije Universiteit Brussel  , Belgium    
   291  ,  Vienna University of Technology  , Austria    
   294  ,  University of Milan  , Italy    
   295  ,  University of Duisburg-Essen  , Germany    
   296  ,  University of Hannover  , Germany    
   297  ,  Aalto University  , Finland    
   298  ,  University of Lubeck  , Germany    
   305  ,  Swedish University of Agricultural Sciences  , Sweden    
   306  ,  University of Aveiro  , Portugal    
   308  ,  University of Strathclyde  , UK    
   309  ,  University of Giessen  , Germany    
   310  ,  Aix-Marseille University  , France    
   314  ,  University of Turin  , Italy    
   315  ,  University of Burgundy  , France    
   317  ,  University of Santiago de Compostela  , Spain    
   318  ,  University of Parma  , Italy    
   322  ,  Polytechnic University of Milan  , Italy    
   323  ,  Umea University  , Sweden    
   324  ,  University of Trieste  , Italy    
   325  ,  Linkoping University  , Sweden    
   327  ,  University of Bochum  , Germany    
   328  ,  University of Montpellier I  , France    
   331  ,  University of Bergen  , Norway    
   332  ,  University of Milan - Bicocca  , Italy    
   333  ,  Autonomous University of Barcelona  , Spain    
   334  ,  Technical University of Darmstadt  , Germany    
   335  ,  University of Bologna  , Italy    
   336  ,  University of Valencia  , Spain    
   337  ,  University of Rennes I  , France    
   340  ,  Saarland University  , Germany    
   341  ,  University of Turku  , Finland    
   342  ,  University of Leipzig  , Germany    
   343  ,  University of Florence  , Italy    
   344  ,  Technion - Israel Institute of Technology  , Israel    
   346  ,  University of Nantes  , France    
   347  ,  University of Padua  , Italy    
   351  ,  University of Ferrara  , Italy    
   352  ,  Loughborough University  , UK    
   353  ,  New University of Lisbon  , Portugal    
   356  ,  Autonomous University of Madrid  , Spain    
   359  ,  Tel Aviv University  , Israel    
   360  ,  University of Perugia  , Italy    
   364  ,  Polytechnic University of Turin  , Italy    
   366  ,  University of Zaragoza  , Spain    
   368  ,  Technical University of Lisbon  , Portugal    
   369  ,  University of Pavia  , Italy    
   373  ,  Bar-Ilan University  , Israel    
   375  ,  University of Granada  , Spain    
   376  ,  University of Surrey  , UK    
   378  ,  University of Oulu  , Finland    
   379  ,  University of Rostock  , Germany    
   380  ,  University of Magdeburg  , Germany    
   381  ,  University of Pisa  , Italy    
   384  ,  University of Halle-Wittenberg  , Germany    
   390  ,  University Henri Poincaré - Nancy I  , France    
   391  ,  University of Porto  , Portugal    
   393  ,  National Technical University of Athens  , Greece    
   396  ,  Polytechnic University of Catalonia  , Spain    
   400  ,  University of Modena  , Italy    
   401  ,  University of Patras  , Greece    
   402  ,  University of Seville  , Spain    
   406  ,  Complutense University of Madrid  , Spain    
   407  ,  University of Rome - Tor Vergata  , Italy    
   408  ,  University of Murcia  , Spain    
   409  ,  University of Oviedo  , Spain    
   411  ,  University of the Basque Country  , Spain    
   412  ,  Aristotle University of Thessaloniki  , Greece    
   418  ,  Middle East Technical University  , Turkey    
   419  ,  University of Rome - La Sapienza  , Italy    
   420  ,  University of Lisbon  , Portugal    
   421  ,  University of Bari  , Italy    
   426  ,  University of Coimbra  , Portugal    
   428  ,  University of Naples Federico II  , Italy    
   433  ,  University of Warsaw  , Poland    
   434  ,  Technical University of Madrid  , Spain    
   439  ,  University of Genoa  , Italy    
   446  ,  University of Athens  , Greece    
   447  ,  Catholic University of the Sacred Heart  , Italy    
