# University Ranking Results - www.universityrankings.ch
# Ranking: Leiden
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   8  ,  London School of Hygiene & Tropical Medicine  , UK , 2018    
   8  ,  London School of Hygiene & Tropical Medicine  , UK , 2017    
   9  ,  Weizmann Institute of Science  , Israel , 2018    
   10  ,  Weizmann Institute of Science  , Israel , 2015    
   11  ,  London School of Hygiene & Tropical Medicine  , UK , 2016    
   11  ,  London School of Hygiene & Tropical Medicine  , UK , 2015    
   12  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2016    
   12  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2012    
   13  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2013    
   13  ,  Weizmann Institute of Science  , Israel , 2017    
   13  ,  Weizmann Institute of Science  , Israel , 2016    
   13  ,  University of Oxford  , UK , 2018    
   15  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2015    
   16  ,  University of Cambridge  , UK , 2018    
   16  ,  University of Oxford  , UK , 2017    
   17  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2018    
   17  ,  University of Oxford  , UK , 2016    
   17  ,  University of Oxford  , UK , 2015    
   18  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2017    
   18  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2018    
   18  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2012    
   19  ,  University of Cambridge  , UK , 2014    
   20  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2017    
   20  ,  University College London  , UK , 2018    
   21  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2014    
   21  ,  University of Cambridge  , UK , 2017    
   22  ,  Weizmann Institute of Science  , Israel , 2014    
   23  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2016    
   23  ,  Weizmann Institute of Science  , Israel , 2013    
   23  ,  London School of Hygiene & Tropical Medicine  , UK , 2014    
   23  ,  University of Cambridge  , UK , 2015    
   24  ,  University of Cambridge  , UK , 2016    
   24  ,  University of Cambridge  , UK , 2013    
