# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2010
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   1  ,  University of Cambridge  , UK    
   4  ,  University College London  , UK    
   6  ,  University of Oxford  , UK    
   7  ,  Imperial College London  , UK    
   18  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   21  ,  King&rsquo;s College London  , UK    
   22  ,  University of Edinburgh  , UK    
   27  ,  University of Bristol  , UK    
   30  ,  University of Manchester  , UK    
   32  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   33  ,  Ecole Normale Supérieure de Paris  , France    
   36  ,  Ecole Polytechnique  , France    
   45  ,  University of Copenhagen  , Denmark    
   51  ,  University of Heidelberg  , Germany    
   52  ,  Trinity College Dublin  , Ireland    
   53  ,  University of Warwick  , UK    
   56  ,  University of Amsterdam  , Netherlands    
   58  ,  Technical University of München  , Germany    
   59  ,  University of Birmingham  , UK    
   62  ,  Uppsala University  , Sweden    
   66  ,  University of München  , Germany    
   69  ,  University of Sheffield  , UK    
   70  ,  Free University of Berlin  , Germany    
   71  ,  University of Geneva  , Switzerland    
   72  ,  Lund University  , Sweden    
   73  ,  University of Nottingham  , UK    
   75  ,  University of Helsinki  , Finland    
   77  ,  University of Glasgow  , UK    
   80  ,  London School of Economics  , UK    
   81  ,  University of Southampton  , UK    
   82  ,  University of Leiden  , Netherlands    
   83  ,  Utrecht University  , Netherlands    
   84  ,  Aarhus University  , Denmark    
   85  ,  University of Leeds  , UK    
   86  ,  Catholic University of Leuven  , Belgium    
   88  ,  University of York  , UK    
   92  ,  University of Durham  , UK    
   93  ,  Moscow State University  , Russia    
   95  ,  University of St. Andrews  , UK    
   97  ,  University of Freiburg  , Germany    
   99  ,  Erasmus University Rotterdam  , Netherlands    
   100  ,  University of Oslo  , Norway    
   101  ,  University of Zurich  , Switzerland    
   108  ,  Delft University of Technology  , Netherlands    
   109  ,  Hebrew University of Jerusalem  , Israel    
   111  ,  University of Maastricht  , Netherlands    
   114  ,  University College Dublin  , Ireland    
   117  ,  University of Aberdeen  , UK    
   118  ,  University Pierre et Marie Curie (Paris VI)  , France    
   120  ,  University of Groningen  , Netherlands    
   121  ,  University of Liverpool  , UK    
   122  ,  Cardiff University  , UK    
   123  ,  Humboldt University of Berlin  , Germany    
   124  ,  Catholic University of Louvain  , Belgium    
   126  ,  Eindhoven University of Technology  , Netherlands    
   131  ,  University of Tübingen  , Germany    
   133  ,  University of Bergen  , Norway    
   137  ,  University of Basel  , Switzerland    
   138  ,  Tel Aviv University  , Israel    
   139  ,  Ecole Normale Supérieure de Lyon  , France    
   140  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   141  ,  Technical University of Denmark  , Denmark    
   143  ,  University of Vienna  , Austria    
   144  ,  University of Bath  , UK    
   147  ,  Queen Mary - University of London  , UK    
   148  ,  University of Barcelona  , Spain    
