# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2015
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   2  ,  Imperial College London  , UK    
   2  ,  University of Cambridge  , UK    
   5  ,  University College London  , UK    
   5  ,  University of Oxford  , UK    
   12  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   16  ,  King&rsquo;s College London  , UK    
   17  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   17  ,  University of Edinburgh  , UK    
   24  ,  Ecole Normale Supérieure de Paris  , France    
   29  ,  University of Bristol  , UK    
   30  ,  University of Manchester  , UK    
   35  ,  Ecole Polytechnique  , France    
   45  ,  University of Copenhagen  , Denmark    
   49  ,  University of Heidelberg  , Germany    
   50  ,  University of Amsterdam  , Netherlands    
   52  ,  University of München  , Germany    
   54  ,  Technical University of München  , Germany    
   55  ,  University of Glasgow  , UK    
   57  ,  University of Zurich  , Switzerland    
   60  ,  Lund University  , Sweden    
   61  ,  University of Warwick  , UK    
   64  ,  University of Birmingham  , UK    
   67  ,  University of Helsinki  , Finland    
   69  ,  University of Sheffield  , UK    
   71  ,  Trinity College Dublin  , Ireland    
   71  ,  London School of Economics  , UK    
   75  ,  University of Leiden  , Netherlands    
   77  ,  University of Nottingham  , UK    
   80  ,  Utrecht University  , Netherlands    
   81  ,  Uppsala University  , Sweden    
   82  ,  Catholic University of Leuven  , Belgium    
   85  ,  University of Geneva  , Switzerland    
   86  ,  Delft University of Technology  , Netherlands    
   88  ,  University of St. Andrews  , UK    
   90  ,  Erasmus University Rotterdam  , Netherlands    
   90  ,  University of Groningen  , Netherlands    
   92  ,  University of Durham  , UK    
   94  ,  University of Southampton  , UK    
   96  ,  Aarhus University  , Denmark    
   97  ,  University of Leeds  , UK    
   98  ,  Queen Mary - University of London  , UK    
   101  ,  University of Oslo  , Norway    
   105  ,  University of Lausanne  , Switzerland    
   110  ,  KTH - Royal Institute of Technology  , Sweden    
   114  ,  Moscow State University  , Russia    
   115  ,  University Pierre et Marie Curie (Paris VI)  , France    
   116  ,  University of Basel  , Switzerland    
   118  ,  University of Maastricht  , Netherlands    
   120  ,  University of York  , UK    
   121  ,  University of Freiburg  , Germany    
   123  ,  Technical University of Denmark  , Denmark    
   123  ,  Cardiff University  , UK    
   123  ,  University of Liverpool  , UK    
   127  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   127  ,  Karlsruhe Institute of Technology  , Germany    
   129  ,  University of Gent  , Belgium    
   134  ,  Humboldt University of Berlin  , Germany    
   137  ,  University of Aberdeen  , UK    
   138  ,  Hebrew University of Jerusalem  , Israel    
   139  ,  University College Dublin  , Ireland    
   141  ,  University of Tübingen  , Germany    
   145  ,  University of Bern  , Switzerland    
   146  ,  University of Göttingen  , Germany    
   147  ,  Eindhoven University of Technology  , Netherlands    
   147  ,  RWTH Aachen University  , Germany    
   150  ,  Free University of Berlin  , Germany    
   151  ,  Wageningen University & Research Center  , Netherlands    
   154  ,  Catholic University of Louvain  , Belgium    
   155  ,  University of Bergen  , Norway    
   156  ,  University of Vienna  , Austria    
