# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2014
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   5  ,  University of Cambridge  , UK    
   9  ,  University of Oxford  , UK    
   19  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   20  ,  University College London  , UK    
   22  ,  Imperial College London  , UK    
   35  ,  University Pierre et Marie Curie (Paris VI)  , France    
   38  ,  University of Manchester  , UK    
   39  ,  University of Copenhagen  , Denmark    
   42  ,  University Paris Sud (Paris XI)  , France    
   45  ,  University of Edinburgh  , UK    
   47  ,  Karolinska Institute  , Sweden    
   49  ,  University of München  , Germany    
   49  ,  University of Heidelberg  , Germany    
   53  ,  Technical University of München  , Germany    
   56  ,  University of Zurich  , Switzerland    
   57  ,  Utrecht University  , Netherlands    
   59  ,  King&rsquo;s College London  , UK    
   60  ,  Uppsala University  , Sweden    
   63  ,  University of Bristol  , UK    
   66  ,  University of Geneva  , Switzerland    
   67  ,  Ecole Normale Supérieure de Paris  , France    
   69  ,  University of Oslo  , Norway    
   70  ,  University of Gent  , Belgium    
   70  ,  Hebrew University of Jerusalem  , Israel    
   73  ,  University of Helsinki  , Finland    
   74  ,  Aarhus University  , Denmark    
   77  ,  University of Leiden  , Netherlands    
   78  ,  Technion - Israel Institute of Technology  , Israel    
   78  ,  Stockholm University  , Sweden    
   82  ,  University of Groningen  , Netherlands    
   84  ,  Moscow State University  , Russia    
   90  ,  University of Basel  , Switzerland    
   94  ,  University of Bonn  , Germany    
   95  ,  University of Strasbourg  , France    
   96  ,  Catholic University of Leuven  , Belgium    
   96  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   100  ,  VU University Amsterdam  , Netherlands    
   101-150  ,  Catholic University of Louvain  , Belgium    
   101-150  ,  Université Libre de Bruxelles  , Belgium    
   101-150  ,  University of Freiburg  , Germany    
   101-150  ,  University of Göttingen  , Germany    
   101-150  ,  University of Frankfurt am Main  , Germany    
   101-150  ,  Technical University of Denmark  , Denmark    
   101-150  ,  University Denis Diderot (Paris VII)  , France    
   101-150  ,  University Joseph Fourier - Grenoble I  , France    
   101-150  ,  Weizmann Institute of Science  , Israel    
   101-150  ,  Radboud University of Nijmegen  , Netherlands    
   101-150  ,  University of Amsterdam  , Netherlands    
   101-150  ,  Wageningen University & Research Center  , Netherlands    
   101-150  ,  Lund University  , Sweden    
   101-150  ,  Cardiff University  , UK    
   101-150  ,  London School of Economics  , UK    
   101-150  ,  University of Birmingham  , UK    
   101-150  ,  University of Glasgow  , UK    
   101-150  ,  University of Leeds  , UK    
   101-150  ,  University of Liverpool  , UK    
   101-150  ,  University of Nottingham  , UK    
   101-150  ,  University of Sheffield  , UK    
   101-150  ,  University of Southampton  , UK    
   101-150  ,  Aix-Marseille University  , France    
   151-200  ,  University of Vienna  , Austria    
   151-200  ,  University of Bern  , Switzerland    
   151-200  ,  University of Lausanne  , Switzerland    
   151-200  ,  University of Würzburg  , Germany    
   151-200  ,  University of Kiel  , Germany    
   151-200  ,  University of Tübingen  , Germany    
   151-200  ,  University of Hamburg  , Germany    
   151-200  ,  University of Cologne  , Germany    
   151-200  ,  University of Münster  , Germany    
   151-200  ,  University of Barcelona  , Spain    
   151-200  ,  University René Descartes (Paris V)  , France    
   151-200  ,  Trinity College Dublin  , Ireland    
   151-200  ,  Tel Aviv University  , Israel    
   151-200  ,  University of Bologna  , Italy    
   151-200  ,  University of Milan  , Italy    
   151-200  ,  University of Padua  , Italy    
   151-200  ,  University of Pisa  , Italy    
   151-200  ,  University of Rome - La Sapienza  , Italy    
   151-200  ,  University of Turin  , Italy    
   151-200  ,  Erasmus University Rotterdam  , Netherlands    
   151-200  ,  Göteborg University  , Sweden    
   151-200  ,  University of East Anglia  , UK    
   151-200  ,  University of Sussex  , UK    
   151-200  ,  University of Warwick  , UK    
   201-300  ,  Medical University of Vienna  , Austria    
   201-300  ,  University of Innsbruck  , Austria    
   201-300  ,  University of Liège  , Belgium    
   201-300  ,  Charles University Prague  , Czech Republic    
   201-300  ,  University of Erlangen-Nürnberg  , Germany    
   201-300  ,  University of Mainz  , Germany    
   201-300  ,  University of Marburg  , Germany    
   201-300  ,  University of Bochum  , Germany    
   201-300  ,  Technical University of Dresden  , Germany    
   201-300  ,  University of Leipzig  , Germany    
   201-300  ,  University of Stuttgart  , Germany    
   201-300  ,  Autonomous University of Madrid  , Spain    
   201-300  ,  University of Valencia  , Spain    
   201-300  ,  Autonomous University of Barcelona  , Spain    
   201-300  ,  Ecole Normale Supérieure de Lyon  , France    
   201-300  ,  University Claude Bernard - Lyon I  , France    
   201-300  ,  University Paul Sabatier - Toulouse III  , France    
   201-300  ,  University of Montpellier II  , France    
   201-300  ,  University College Dublin  , Ireland    
   201-300  ,  Polytechnic University of Milan  , Italy    
   201-300  ,  University of Florence  , Italy    
   201-300  ,  Delft University of Technology  , Netherlands    
   201-300  ,  University of Maastricht  , Netherlands    
   201-300  ,  Norwegian University of Science and Technology  , Norway    
   201-300  ,  University of Bergen  , Norway    
   201-300  ,  University of Lisbon  , Portugal    
   201-300  ,  KTH - Royal Institute of Technology  , Sweden    
   201-300  ,  Swedish University of Agricultural Sciences  , Sweden    
   201-300  ,  Umea University  , Sweden    
   201-300  ,  Queen Mary - University of London  , UK    
   201-300  ,  University of Aberdeen  , UK    
   201-300  ,  University of Dundee  , UK    
   201-300  ,  University of Durham  , UK    
   201-300  ,  University of Exeter  , UK    
   201-300  ,  University of Leicester  , UK    
   201-300  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   201-300  ,  University of St. Andrews  , UK    
   201-300  ,  University of York  , UK    
   201-300  ,  Karlsruhe Institute of Technology  , Germany    
   201-300  ,  RWTH Aachen University  , Germany    
   201-300  ,  University of Bordeaux  , France    
   201-300  ,  University of Lorraine  , France    
   301-400  ,  University of Antwerp  , Belgium    
   301-400  ,  Vrije Universiteit Brussel  , Belgium    
   301-400  ,  University of Duisburg-Essen  , Germany    
   301-400  ,  University of Düsseldorf  , Germany    
   301-400  ,  University of Giessen  , Germany    
   301-400  ,  University of Halle-Wittenberg  , Germany    
   301-400  ,  Hannover Medical School  , Germany    
   301-400  ,  Technical University of Berlin  , Germany    
   301-400  ,  University of Konstanz  , Germany    
   301-400  ,  University of Ulm  , Germany    
   301-400  ,  University of Southern Denmark  , Denmark    
   301-400  ,  Complutense University of Madrid  , Spain    
   301-400  ,  Polytechnic University of Valencia  , Spain    
   301-400  ,  University of Granada  , Spain    
   301-400  ,  University Pompeu Fabra  , Spain    
   301-400  ,  University of Oulu  , Finland    
   301-400  ,  University of Turku  , Finland    
   301-400  ,  Ecole Polytechnique  , France    
   301-400  ,  Ecole Supérieure de Physique et de Chimie Industrielles  , France    
   301-400  ,  University Paris-Dauphine (Paris IX)  , France    
   301-400  ,  University of Athens  , Greece    
   301-400  ,  Eötvös Lorand University  , Hungary    
   301-400  ,  Scuola Normale Superiore di Pisa  , Italy    
   301-400  ,  University of Milan - Bicocca  , Italy    
   301-400  ,  University of Naples Federico II  , Italy    
   301-400  ,  University of Rome - Tor Vergata  , Italy    
   301-400  ,  Eindhoven University of Technology  , Netherlands    
   301-400  ,  University of Twente  , Netherlands    
   301-400  ,  Jagiellonian University  , Poland    
   301-400  ,  University of Warsaw  , Poland    
   301-400  ,  University of Porto  , Portugal    
   301-400  ,  St. Petersburg State University  , Russia    
   301-400  ,  Chalmers University of Technology  , Sweden    
   301-400  ,  Linkoping University  , Sweden    
   301-400  ,  London School of Hygiene & Tropical Medicine  , UK    
   301-400  ,  Queen&rsquo;s University Belfast  , UK    
   301-400  ,  University of Lancaster  , UK    
   301-400  ,  University of Reading  , UK    
   301-400  ,  University of Belgrade  , Serbia    
   401-500  ,  Medical University of Graz  , Austria    
   401-500  ,  Vienna University of Technology  , Austria    
   401-500  ,  University of Graz  , Austria    
   401-500  ,  University of Jena  , Germany    
   401-500  ,  Technical University of Braunschweig  , Germany    
   401-500  ,  Technical University of Darmstadt  , Germany    
   401-500  ,  University of Bayreuth  , Germany    
   401-500  ,  University of Bielefeld  , Germany    
   401-500  ,  University of Bremen  , Germany    
   401-500  ,  University of Hannover  , Germany    
   401-500  ,  University of Regensburg  , Germany    
   401-500  ,  University of Rostock  , Germany    
   401-500  ,  Aalborg University  , Denmark    
   401-500  ,  Polytechnic University of Catalonia  , Spain    
   401-500  ,  University of Santiago de Compostela  , Spain    
   401-500  ,  University of Zaragoza  , Spain    
   401-500  ,  University of the Basque Country  , Spain    
   401-500  ,  Mines ParisTech  , France    
   401-500  ,  University of Rennes I  , France    
   401-500  ,  University of Auvergne  , France    
   401-500  ,  University of Nice-Sophia Antipolis  , France    
   401-500  ,  Aristotle University of Thessaloniki  , Greece    
   401-500  ,  University of Szeged  , Hungary    
   401-500  ,  University College Cork  , Ireland    
   401-500  ,  Bar-Ilan University  , Israel    
   401-500  ,  Ben-Gurion University of the Negev  , Israel    
   401-500  ,  Catholic University of the Sacred Heart  , Italy    
   401-500  ,  University of Cagliari  , Italy    
   401-500  ,  University of Ferrara  , Italy    
   401-500  ,  University of Genoa  , Italy    
   401-500  ,  University of Palermo  , Italy    
   401-500  ,  University of Parma  , Italy    
   401-500  ,  University of Pavia  , Italy    
   401-500  ,  University of Perugia  , Italy    
   401-500  ,  University of Trieste  , Italy    
   401-500  ,  Tilburg University  , Netherlands    
   401-500  ,  University of Coimbra  , Portugal    
   401-500  ,  Stockholm School of Economics  , Sweden    
   401-500  ,  University of Ljubljana  , Slovenia    
   401-500  ,  Istanbul University  , Turkey    
   401-500  ,  Brunel University  , UK    
   401-500  ,  Open University  , UK    
   401-500  ,  University of Bath  , UK    
   401-500  ,  University of Essex  , UK    
   401-500  ,  University of Surrey  , UK    
   401-500  ,  Aalto University  , Finland    
   401-500  ,  University of Eastern Finland  , Finland    
