# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   2  ,  University of Cambridge  , UK , 2006    
   2  ,  University of Cambridge  , UK , 2005    
   3  ,  University of Cambridge  , UK , 2018    
   3  ,  University of Cambridge  , UK , 2017    
   3  ,  University of Cambridge  , UK , 2004    
   4  ,  University of Cambridge  , UK , 2016    
   4  ,  University of Cambridge  , UK , 2009    
   4  ,  University of Cambridge  , UK , 2008    
   4  ,  University of Cambridge  , UK , 2007    
   5  ,  University of Cambridge  , UK , 2015    
   5  ,  University of Cambridge  , UK , 2014    
   5  ,  University of Cambridge  , UK , 2013    
   5  ,  University of Cambridge  , UK , 2012    
   5  ,  University of Cambridge  , UK , 2011    
   5  ,  University of Cambridge  , UK , 2010    
   5  ,  University of Cambridge  , UK , 2003    
   7  ,  University of Oxford  , UK , 2018    
   7  ,  University of Oxford  , UK , 2017    
   7  ,  University of Oxford  , UK , 2016    
   8  ,  University of Oxford  , UK , 2004    
   9  ,  University of Oxford  , UK , 2014    
   9  ,  University of Oxford  , UK , 2003    
   10  ,  University of Oxford  , UK , 2015    
   10  ,  University of Oxford  , UK , 2013    
   10  ,  University of Oxford  , UK , 2012    
   10  ,  University of Oxford  , UK , 2011    
   10  ,  University of Oxford  , UK , 2010    
   10  ,  University of Oxford  , UK , 2009    
   10  ,  University of Oxford  , UK , 2008    
   10  ,  University of Oxford  , UK , 2007    
   10  ,  University of Oxford  , UK , 2006    
   10  ,  University of Oxford  , UK , 2005    
   16  ,  University College London  , UK , 2017    
   17  ,  Imperial College London  , UK , 2003    
   17  ,  University College London  , UK , 2018    
   17  ,  University College London  , UK , 2016    
   18  ,  University College London  , UK , 2015    
   19  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2018    
   19  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2017    
   19  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2016    
   19  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2014    
   20  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2015    
   20  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2013    
   20  ,  University College London  , UK , 2014    
   20  ,  University College London  , UK , 2011    
   20  ,  University College London  , UK , 2003    
