# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2011
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                       
   6  ,  University of Cambridge  , UK    
   6  ,  University of Oxford  , UK    
   9  ,  Imperial College London  , UK    
   15  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland    
   22  ,  University College London  , UK    
   39  ,  Ecole Polytechnique  , France    
   40  ,  University of Edinburgh  , UK    
   42  ,  Ecole Normale Supérieure de Paris  , France    
   43  ,  University of Göttingen  , Germany    
   43  ,  Karolinska Institute  , Sweden    
   48  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland    
   61  ,  University of München  , Germany    
   68  ,  University of Bristol  , UK    
   76  ,  Trinity College Dublin  , Ireland    
   77  ,  King&rsquo;s College London  , UK    
   79  ,  University of Sussex  , UK    
   81  ,  University of York  , UK    
   83  ,  University of Heidelberg  , Germany    
   85  ,  University of Durham  , UK    
   86  ,  London School of Economics  , UK    
   87  ,  University of Manchester  , UK    
   88  ,  Royal Holloway - University of London  , UK    
   89  ,  Lund University  , Sweden    
   90  ,  University of Southampton  , UK    
   90  ,  University of Zurich  , Switzerland    
   94  ,  University College Dublin  , Ireland    
   95  ,  University of Basel  , Switzerland    
   100  ,  Ecole Normale Supérieure de Lyon  , France    
   101  ,  Technical University of München  , Germany    
   102  ,  University of Helsinki  , Finland    
   103  ,  University of St. Andrews  , UK    
   112  ,  Bilkent University  , Turkey    
   114  ,  Eindhoven University of Technology  , Netherlands    
   118  ,  University of Geneva  , Switzerland    
   119  ,  Catholic University of Leuven  , Belgium    
   120  ,  Queen Mary - University of London  , UK    
   122  ,  Technical University of Denmark  , Denmark    
   124  ,  University of Gent  , Belgium    
   124  ,  University of Leiden  , Netherlands    
   124  ,  University of Lancaster  , UK    
   128  ,  University of Glasgow  , UK    
   129  ,  Stockholm University  , Sweden    
   132  ,  University of Freiburg  , Germany    
   135  ,  University of Bergen  , Norway    
   136  ,  University of Lausanne  , Switzerland    
   137  ,  University of Sheffield  , UK    
   139  ,  VU University Amsterdam  , Netherlands    
   140  ,  University Pierre et Marie Curie (Paris VI)  , France    
   140  ,  University of Dundee  , UK    
   142  ,  University of Barcelona  , Spain    
   143  ,  Utrecht University  , Netherlands    
   144  ,  Wageningen University & Research Center  , Netherlands    
   145  ,  University of Birmingham  , UK    
   147  ,  Uppsala University  , Sweden    
   149  ,  University of Aberdeen  , UK    
   151  ,  Delft University of Technology  , Netherlands    
   152  ,  Birkbeck - University of London  , UK    
   152  ,  Newcastle University - Newcastle-upon-Tyne  , UK    
   155  ,  University Pompeu Fabra  , Spain    
   159  ,  Erasmus University Rotterdam  , Netherlands    
   165  ,  University of Amsterdam  , Netherlands    
   165  ,  University of Liverpool  , UK    
   167  ,  Aarhus University  , Denmark    
   168  ,  University of Würzburg  , Germany    
   168  ,  University of Leeds  , UK    
   170  ,  University of Groningen  , Netherlands    
   172  ,  University of Frankfurt am Main  , Germany    
   173  ,  University of Bielefeld  , Germany    
   174  ,  University of East Anglia  , UK    
   174  ,  University of Nottingham  , UK    
   177  ,  University of Copenhagen  , Denmark    
   178  ,  Humboldt University of Berlin  , Germany    
   178  ,  University of Bonn  , Germany    
   182  ,  RWTH Aachen University  , Germany    
   183  ,  Middle East Technical University  , Turkey    
   184  ,  University of Exeter  , UK    
   185  ,  University of Twente  , Netherlands    
   186  ,  University of Konstanz  , Germany    
   187  ,  University of Innsbruck  , Austria    
   187  ,  Karlsruhe Institute of Technology  , Germany    
   189  ,  University of Tübingen  , Germany    
   193  ,  KTH - Royal Institute of Technology  , Sweden    
   195  ,  University of Vienna  , Austria    
   199  ,  Swedish University of Agricultural Sciences  , Sweden    
