# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: all years
# Region: Europe
#
 #    World Rank                   ,  Institution                   ,  Country                   ,  &nbsp;Year&nbsp;&nbsp;                       
   1  ,  University of Oxford  , UK , 2019    
   1  ,  University of Oxford  , UK , 2018    
   1  ,  University of Oxford  , UK , 2017    
   2  ,  University of Cambridge  , UK , 2019    
   2  ,  University of Cambridge  , UK , 2018    
   2  ,  University of Oxford  , UK , 2016    
   2  ,  University of Oxford  , UK , 2014    
   2  ,  University of Oxford  , UK , 2013    
   3  ,  University of Oxford  , UK , 2015    
   4  ,  University of Cambridge  , UK , 2017    
   4  ,  University of Cambridge  , UK , 2016    
   4  ,  University of Oxford  , UK , 2012    
   5  ,  University of Cambridge  , UK , 2015    
   6  ,  University of Cambridge  , UK , 2012    
   6  ,  University of Cambridge  , UK , 2011    
   6  ,  University of Oxford  , UK , 2011    
   7  ,  University of Cambridge  , UK , 2014    
   7  ,  University of Cambridge  , UK , 2013    
   8  ,  Imperial College London  , UK , 2018    
   8  ,  Imperial College London  , UK , 2017    
   8  ,  Imperial College London  , UK , 2016    
   8  ,  Imperial College London  , UK , 2013    
   8  ,  Imperial College London  , UK , 2012    
   9  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2017    
   9  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2016    
   9  ,  Imperial College London  , UK , 2019    
   9  ,  Imperial College London  , UK , 2015    
   9  ,  Imperial College London  , UK , 2011    
   10  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2018    
   10  ,  Imperial College London  , UK , 2014    
   11  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2019    
   12  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2013    
   13  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2015    
   14  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2014    
   14  ,  University College London  , UK , 2019    
   14  ,  University College London  , UK , 2016    
   15  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2012    
   15  ,  Swiss Federal Institute of Technology Zurich - ETHZ  , Switzerland , 2011    
   15  ,  University College London  , UK , 2017    
   16  ,  University College London  , UK , 2018    
   17  ,  University College London  , UK , 2013    
   17  ,  University College London  , UK , 2012    
   21  ,  University College London  , UK , 2014    
   22  ,  University College London  , UK , 2015    
   22  ,  University College London  , UK , 2011    
   23  ,  London School of Economics  , UK , 2016    
   24  ,  University of Edinburgh  , UK , 2016    
   25  ,  London School of Economics  , UK , 2018    
   25  ,  London School of Economics  , UK , 2017    
   26  ,  London School of Economics  , UK , 2019    
   27  ,  King&rsquo;s College London  , UK , 2016    
   27  ,  University of Edinburgh  , UK , 2018    
   27  ,  University of Edinburgh  , UK , 2017    
   28  ,  Karolinska Institute  , Sweden , 2017    
   28  ,  Karolinska Institute  , Sweden , 2016    
   29  ,  University of München  , Germany , 2016    
   29  ,  University of München  , Germany , 2015    
   29  ,  University of Edinburgh  , UK , 2019    
   30  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2017    
   30  ,  University of München  , Germany , 2017    
   31  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2016    
   32  ,  University of München  , Germany , 2019    
   32  ,  Karolinska Institute  , Sweden , 2012    
   32  ,  London School of Economics  , UK , 2014    
   32  ,  University of Edinburgh  , UK , 2013    
   34  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2015    
   34  ,  University of München  , Germany , 2018    
   34  ,  London School of Economics  , UK , 2015    
   35  ,  Catholic University of Leuven  , Belgium , 2016    
   35  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2019    
   36  ,  Karolinska Institute  , Sweden , 2014    
   36  ,  King&rsquo;s College London  , UK , 2018    
   36  ,  King&rsquo;s College London  , UK , 2017    
   36  ,  University of Edinburgh  , UK , 2015    
   36  ,  University of Edinburgh  , UK , 2012    
   37  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2014    
   37  ,  University of Heidelberg  , Germany , 2016    
   38  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2018    
   38  ,  Karolinska Institute  , Sweden , 2018    
   38  ,  King&rsquo;s College London  , UK , 2019    
   38  ,  King&rsquo;s College London  , UK , 2014    
   39  ,  Ecole Polytechnique  , France , 2011    
   39  ,  London School of Economics  , UK , 2013    
   39  ,  University of Edinburgh  , UK , 2014    
   40  ,  Catholic University of Leuven  , Belgium , 2017    
   40  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2013    
   40  ,  Karolinska Institute  , Sweden , 2019    
   40  ,  King&rsquo;s College London  , UK , 2015    
   40  ,  University of Edinburgh  , UK , 2011    
   41  ,  Technical University of München  , Germany , 2018    
   41  ,  PSL Research University Paris  , France , 2019    
   42  ,  Ecole Normale Supérieure de Paris  , France , 2011    
   42  ,  Karolinska Institute  , Sweden , 2013    
   43  ,  University of Göttingen  , Germany , 2011    
   43  ,  University of Heidelberg  , Germany , 2017    
   43  ,  Karolinska Institute  , Sweden , 2011    
   44  ,  Technical University of München  , Germany , 2019    
   44  ,  Karolinska Institute  , Sweden , 2015    
   45  ,  University of München  , Germany , 2012    
   45  ,  University of Heidelberg  , Germany , 2018    
   46  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2012    
   46  ,  Technical University of München  , Germany , 2017    
   47  ,  Catholic University of Leuven  , Belgium , 2018    
   47  ,  University of Heidelberg  , Germany , 2019    
   47  ,  Wageningen University & Research Center  , Netherlands , 2016    
   47  ,  London School of Economics  , UK , 2012    
   48  ,  Catholic University of Leuven  , Belgium , 2019    
   48  ,  Swiss Federal Institute of Technology Lausanne - EPFL  , Switzerland , 2011    
   48  ,  University of München  , Germany , 2013    
   48  ,  University of Manchester  , UK , 2012    
   49  ,  Humboldt University of Berlin  , Germany , 2016    
   49  ,  University of Manchester  , UK , 2013    
   52  ,  University of Manchester  , UK , 2015    
   53  ,  Technical University of München  , Germany , 2016    
   54  ,  Ecole Normale Supérieure de Paris  , France , 2016    
   54  ,  University of Manchester  , UK , 2018    
   55  ,  Catholic University of Leuven  , Belgium , 2015    
   55  ,  University of München  , Germany , 2014    
   55  ,  University of Manchester  , UK , 2017    
   56  ,  King&rsquo;s College London  , UK , 2012    
   56  ,  University of Manchester  , UK , 2016    
   57  ,  Humboldt University of Berlin  , Germany , 2017    
   57  ,  King&rsquo;s College London  , UK , 2013    
   57  ,  University of Manchester  , UK , 2019    
   58  ,  Catholic University of Leuven  , Belgium , 2013    
   58  ,  Delft University of Technology  , Netherlands , 2019    
   58  ,  University of Amsterdam  , Netherlands , 2016    
   58  ,  University of Manchester  , UK , 2014    
   59  ,  Ecole Normale Supérieure de Paris  , France , 2013    
   59  ,  Ecole Normale Supérieure de Paris  , France , 2012    
   59  ,  Delft University of Technology  , Netherlands , 2017    
   59  ,  University of Amsterdam  , Netherlands , 2018    
   59  ,  Wageningen University & Research Center  , Netherlands , 2019    
   61  ,  Catholic University of Leuven  , Belgium , 2014    
   61  ,  University of München  , Germany , 2011    
   61  ,  Ecole Polytechnique  , France , 2015    
   61  ,  University of Zurich  , Switzerland , 2012    
